sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x53,25427,1.925,-1.851,-0.008,
Sensor_0x53,25462,1.695,-1.851,0.692,
Sensor_0x53,25496,1.535,-2.091,-1.498,
Sensor_0x53,25531,1.615,-2.091,0.302,
Sensor_0x53,25565,1.615,-2.251,-0.168,
Sensor_0x53,25599,1.615,-1.781,-0.638,
Sensor_0x53,25635,1.925,-1.461,0.462,
Sensor_0x53,25669,1.375,-1.931,-0.558,
Sensor_0x53,25703,1.695,-1.621,-0.168,
Sensor_0x53,25737,1.695,-1.701,0.462,
Sensor_0x53,25773,1.455,-1.931,-0.558,
Sensor_0x53,25807,1.455,-2.091,-0.168,
Sensor_0x53,25841,2.005,-1.701,0.062,
Sensor_0x53,25877,1.535,-1.541,-0.168,
Sensor_0x53,25911,1.695,-1.851,0.302,
Sensor_0x53,25945,1.375,-1.701,-0.088,
Sensor_0x53,25979,1.695,-1.621,-0.638,
Sensor_0x53,26015,2.005,-1.701,0.302,
Sensor_0x53,26049,1.925,-1.781,-0.008,
Sensor_0x53,26083,1.615,-1.851,-0.328,
Sensor_0x53,26119,1.695,-2.011,0.062,
Sensor_0x53,26153,1.925,-1.701,-0.488,
Sensor_0x53,26187,1.375,-2.091,-0.088,
Sensor_0x53,26223,1.535,-2.091,-0.088,
Sensor_0x53,26257,1.455,-1.781,-0.558,
Sensor_0x53,26291,1.925,-1.701,-0.638,
Sensor_0x53,26327,1.845,-1.931,0.302,
Sensor_0x53,26361,1.695,-2.331,-0.168,
Sensor_0x53,26395,1.615,-2.401,-0.878,
Sensor_0x53,26430,2.085,-2.091,0.612,
Sensor_0x53,26464,-37.615,-36.371,10.182,
Sensor_0x53,26497,-27.255,-37.081,54.282,
Sensor_0x53,26530,-40.515,-47.201,20.932,
Sensor_0x53,26563,31.505,-39.121,-30.848,
Sensor_0x53,26596,-68.605,71.419,87.702,
Sensor_0x53,26629,-80.915,24.039,41.252,
Sensor_0x53,26662,-28.515,-10.011,-84.978,
Sensor_0x53,26695,-8.275,4.029,84.642,
Sensor_0x53,26729,-50.475,-4.991,-18.368,
Sensor_0x53,26762,-40.985,-6.561,-32.418,
Sensor_0x53,26795,3.495,2.769,73.102,
Sensor_0x53,26829,-26.085,-5.541,-51.868,
Sensor_0x53,26862,-26.085,-1.071,10.892,
Sensor_0x53,26896,-7.335,1.209,39.762,
Sensor_0x53,26929,-13.295,-6.251,-56.738,
Sensor_0x53,26963,-5.445,0.029,35.212,
Sensor_0x53,26998,-14.465,-1.071,9.642,
Sensor_0x53,27031,-12.825,-4.521,-37.668,
Sensor_0x53,27065,5.065,1.129,41.412,
Sensor_0x53,27099,-12.115,-2.561,-18.998,
Sensor_0x53,27132,-10.545,-3.271,-8.248,
Sensor_0x53,27168,3.415,0.579,30.662,
Sensor_0x53,27202,-7.335,-4.681,-35.078,
Sensor_0x53,27235,-2.935,-0.831,15.052,
Sensor_0x53,27271,-2.935,-0.361,11.832,
Sensor_0x53,27305,-5.605,-3.031,-27.238,
Sensor_0x53,27339,4.355,0.029,25.562,
Sensor_0x53,27375,-4.975,-1.701,-12.648,
Sensor_0x53,27408,-4.035,-2.251,-6.998,
