sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,614839,8.028,-2.651,35.878,
Sensor_0x53,614868,0.175,-0.514,-0.12,
Sensor_0x1D,614871,-5.002,1.509,-30.732,
Sensor_0x53,614901,-0.604,-0.274,-0.04,
Sensor_0x1D,614904,9.588,-9.941,29.128,
Sensor_0x53,614935,0.025,-0.194,0.19,
Sensor_0x1D,614938,-3.742,6.929,0.968,
Sensor_0x53,614968,0.105,-0.354,0.04,
Sensor_0x1D,614971,-9.392,4.489,-37.242,
Sensor_0x53,615003,0.335,0.116,-0.04,
Sensor_0x1D,615005,9.198,-9.781,27.328,
Sensor_0x53,615036,0.025,0.116,0.04,
Sensor_0x1D,615038,0.178,4.889,13.678,
Sensor_0x53,615070,0.105,-0.124,0.12,
Sensor_0x1D,615072,-11.352,6.929,-37.552,
Sensor_0x53,615103,0.255,0.116,0.19,
Sensor_0x1D,615107,-9.472,5.439,-37.942,
Sensor_0x53,615137,0.025,0.116,-0.04,
Sensor_0x1D,615140,8.568,-9.241,15.718,
Sensor_0x53,615170,-0.135,0.116,0.12,
Sensor_0x1D,615172,-10.732,8.569,-24.222,
Sensor_0x53,615205,-0.055,0.506,-0.04,
Sensor_0x1D,615206,-0.062,-2.491,-18.882,
Sensor_0x53,615239,0.025,0.116,0.12,
Sensor_0x1D,615239,9.668,-7.741,36.508,
Sensor_0x53,615272,0.335,0.116,-0.28,
Sensor_0x1D,615273,-7.902,8.489,-12.292,
Sensor_0x1D,615306,-4.762,1.279,-29.792,
Sensor_0x53,615307,-0.055,-0.124,0.04,
Sensor_0x53,615340,0.025,-0.044,0.12,
Sensor_0x1D,615340,9.588,-8.221,36.038,
Sensor_0x1D,615373,-4.062,7.319,0.258,
Sensor_0x53,615374,0.025,0.116,0.19,
Sensor_0x1D,615406,-5.392,1.899,-31.202,
Sensor_0x53,615407,-0.055,-0.044,0.27,
Sensor_0x1D,615440,9.278,-9.391,28.978,
Sensor_0x53,615441,0.025,0.116,-0.36,
Sensor_0x1D,615473,-3.902,6.609,1.518,
Sensor_0x53,615476,-0.055,-0.044,0.04,
Sensor_0x1D,615507,-9.162,4.729,-37.402,
Sensor_0x53,615509,-0.055,-0.044,-0.04,
Sensor_0x1D,615540,8.968,-9.391,17.358,
Sensor_0x53,615543,0.105,0.116,-0.2,
Sensor_0x1D,615574,3.708,1.979,24.188,
Sensor_0x53,615576,0.175,-0.124,-0.28,
Sensor_0x1D,615607,-11.902,7.869,-33.162,
Sensor_0x53,615610,0.255,0.116,0.04,
Sensor_0x1D,615641,6.458,-8.291,4.338,
Sensor_0x53,615644,-0.055,0.116,0.04,
Sensor_0x1D,615674,6.928,-1.781,33.918,
Sensor_0x53,615678,-0.604,-0.434,-0.12,
Sensor_0x1D,615708,-10.732,8.569,-24.762,
Sensor_0x53,615711,-0.295,-0.194,-0.2,
Sensor_0x1D,615741,0.338,-2.571,-18.492,
Sensor_0x53,615745,0.105,0.116,-0.04,
Sensor_0x1D,615775,8.728,-5.311,37.758,
Sensor_0x53,615778,0.175,0.116,0.12,
Sensor_0x1D,615808,-5.082,7.469,-3.352,
Sensor_0x53,615813,0.175,0.116,0.04,
Sensor_0x1D,615842,-4.212,0.959,-29.162,
Sensor_0x53,615847,-0.215,-0.124,0.04,
Sensor_0x1D,615875,9.588,-9.391,30.618,
Sensor_0x53,615880,-0.055,-0.044,0.12,
Sensor_0x1D,615909,-1.392,5.669,9.598,
Sensor_0x53,615913,0.025,-0.124,-0.04,
Sensor_0x1D,615942,-10.732,6.059,-38.102,
Sensor_0x53,615948,-0.055,-0.044,-0.04,
Sensor_0x1D,615975,8.968,-9.861,19.878,
Sensor_0x53,615981,0.105,0.116,0.12,
Sensor_0x1D,616009,2.998,2.529,22.148,
Sensor_0x53,616015,0.255,0.116,-0.12,
Sensor_0x1D,616042,-11.432,6.529,-37.872,
Sensor_0x53,616049,-0.055,-0.044,-0.04,
Sensor_0x1D,616076,6.928,-8.221,6.538,
Sensor_0x53,616082,-0.055,0.116,0.12,
Sensor_0x1D,616109,3.548,1.589,24.498,
Sensor_0x53,616117,-0.135,-0.194,0.04,
Sensor_0x1D,616143,-11.902,7.869,-32.852,
Sensor_0x53,616150,0.255,0.116,0.04,
Sensor_0x1D,616176,4.018,-5.781,-6.962,
Sensor_0x53,616184,0.105,-0.274,-0.04,
Sensor_0x1D,616210,8.338,-4.921,37.998,
Sensor_0x53,616217,0.105,0.116,0.12,
Sensor_0x1D,616243,-8.692,8.259,-14.252,
Sensor_0x53,616252,0.255,0.036,0.35,
Sensor_0x1D,616277,-0.372,-2.491,-19.512,
Sensor_0x53,616285,-0.055,0.116,0.04,
Sensor_0x1D,616310,9.358,-7.821,36.188,
Sensor_0x53,616319,-0.375,-0.044,0.04,
Sensor_0x1D,616344,-4.532,7.399,-1.782,
Sensor_0x53,616352,-0.135,0.116,-0.04,
Sensor_0x1D,616377,-8.372,3.709,-36.382,
Sensor_0x53,616387,0.175,0.116,0.51,
Sensor_0x1D,616411,8.728,-9.711,20.268,
Sensor_0x53,616420,-0.055,0.196,0.04,
Sensor_0x1D,616444,2.998,2.919,20.818,
Sensor_0x53,616454,0.495,0.116,0.19,
Sensor_0x1D,616478,-11.202,6.689,-38.022,
Sensor_0x53,616487,0.335,-0.194,0.04,
Sensor_0x1D,616511,7.158,-8.451,7.318,
Sensor_0x53,616522,-0.055,0.036,-0.51,
Sensor_0x1D,616544,3.868,2.219,23.558,
Sensor_0x53,616555,0.025,0.036,-0.2,
Sensor_0x1D,616578,-11.822,6.689,-37.322,
Sensor_0x53,616589,-0.135,-0.194,0.04,
Sensor_0x1D,616611,6.768,-8.611,4.968,
Sensor_0x53,616622,-0.055,0.116,0.04,
Sensor_0x1D,616644,0.728,4.019,15.398,
Sensor_0x53,616657,-0.135,-0.124,-0.04,
Sensor_0x1D,616678,-11.752,7.949,-32.302,
Sensor_0x53,616690,-0.295,-0.044,0.04,
Sensor_0x1D,616711,5.988,-7.981,2.298,
Sensor_0x53,616724,0.105,0.116,0.04,
Sensor_0x1D,616745,7.318,-2.881,34.778,
Sensor_0x53,616758,0.105,0.116,-0.36,
Sensor_0x1D,616778,-11.672,8.179,-30.962,
Sensor_0x53,616791,0.105,0.036,0.04,
Sensor_0x1D,616812,2.688,-4.531,-11.042,
Sensor_0x53,616826,-0.215,-0.044,0.04,
Sensor_0x1D,616845,8.728,-5.861,37.918,
Sensor_0x53,616859,0.025,-0.194,-0.04,
Sensor_0x1D,616878,-9.782,8.489,-20.212,
Sensor_0x53,616893,0.025,0.116,0.04,
Sensor_0x1D,616912,-1.622,-1.231,-23.042,
Sensor_0x53,616926,-0.055,-0.044,0.35,
Sensor_0x1D,616945,9.908,-8.451,34.698,
Sensor_0x53,616961,-0.055,-0.194,-0.12,
Sensor_0x1D,616979,-6.172,8.179,-7.822,
Sensor_0x53,616994,-0.135,-0.194,-0.04,
Sensor_0x1D,617012,-2.332,-0.451,-25.082,
Sensor_0x53,617028,-0.295,0.116,-0.28,
Sensor_0x1D,617045,9.748,-8.761,33.918,
Sensor_0x53,617062,0.255,0.116,0.04,
Sensor_0x1D,617079,-5.782,7.629,-5.702,
Sensor_0x53,617096,-0.445,-0.044,-0.04,
Sensor_0x1D,617112,-6.652,3.239,-34.732,
Sensor_0x53,617130,-0.055,0.116,0.04,
Sensor_0x1D,617146,9.118,-9.861,23.878,
Sensor_0x53,617164,0.025,0.116,-0.2,
Sensor_0x1D,617179,1.828,3.239,17.678,
Sensor_0x53,617198,0.105,0.116,0.04,
Sensor_0x1D,617213,-10.412,6.059,-37.942,
Sensor_0x53,617231,0.025,0.116,0.04,
