sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,78142568,0.044,0.179,0.09,
Sensor_0x53,78142705,-0.322,-0.175,-0.025,
Sensor_0x53,78143739,0.384,0.217,0.367,
Sensor_0x1D,78143760,-0.348,0.1,0.247,
Sensor_0x53,78144781,-0.165,-0.175,-0.182,
Sensor_0x1D,78144900,-0.191,-0.135,0.169,
Sensor_0x53,78145813,0.541,0.139,0.288,
Sensor_0x1D,78146040,0.044,0.257,-0.067,
Sensor_0x53,78146886,-0.008,-0.097,-0.104,
Sensor_0x1D,78147208,0.044,-0.135,-0.145,
Sensor_0x53,78147918,0.227,0.06,-0.182,
Sensor_0x1D,78148353,0.044,0.022,-0.067,
Sensor_0x53,78148958,-0.165,-0.097,-0.025,
Sensor_0x1D,78149514,0.044,0.1,0.639,
Sensor_0x53,78149996,0.07,-0.254,-0.104,
Sensor_0x1D,78150690,-0.113,0.1,0.09,
Sensor_0x53,78151035,-0.087,-0.018,-0.182,
Sensor_0x1D,78151853,-0.113,-0.213,-0.224,
Sensor_0x53,78152066,0.148,-0.332,-0.339,
Sensor_0x1D,78153036,0.358,-0.292,-0.067,
Sensor_0x53,78153138,-0.008,-0.018,-0.025,
Sensor_0x53,78154171,-0.087,-0.018,-0.104,
Sensor_0x1D,78154217,0.044,0.179,-0.38,
Sensor_0x53,78155213,-0.087,0.139,0.21,
Sensor_0x1D,78155373,-0.113,0.022,0.169,
Sensor_0x53,78156247,0.148,-0.332,0.053,
Sensor_0x1D,78156514,0.122,-0.213,0.247,
Sensor_0x53,78157287,0.462,0.217,0.21,
Sensor_0x1D,78157670,-0.035,0.022,-0.38,
Sensor_0x53,78158318,-0.244,0.374,0.21,
Sensor_0x1D,78158823,-0.035,0.1,-0.067,
Sensor_0x53,78159391,0.541,0.06,0.21,
Sensor_0x1D,78160003,0.122,0.022,0.012,
Sensor_0x53,78160424,-0.165,-0.097,0.053,
Sensor_0x1D,78161212,-0.191,-0.135,-0.067,
Sensor_0x53,78161503,-0.008,0.452,0.053,
Sensor_0x1D,78162403,-0.035,0.022,-0.067,
Sensor_0x53,78162538,-0.165,-0.097,0.131,
Sensor_0x53,78163579,0.148,0.295,0.21,
Sensor_0x1D,78163594,0.044,0.1,0.012,
Sensor_0x53,78164611,-0.008,-0.568,-0.182,
Sensor_0x1D,78164746,-0.113,0.022,0.012,
Sensor_0x53,78165648,0.541,-0.489,-0.104,
Sensor_0x1D,78165890,0.436,-0.135,0.169,
Sensor_0x53,78166678,-0.165,0.06,-0.104,
Sensor_0x1D,78167044,0.044,0.022,-0.067,
Sensor_0x53,78167721,-0.322,-0.097,-0.025,
Sensor_0x1D,78168190,-0.113,-0.135,-0.145,
Sensor_0x53,78168756,0.07,0.217,0.524,
